	PNSR	SSIM	MSE
0	26.084585	0.7498846	0.009853749
1	27.231201	0.6907524	0.007567281
2	24.853039	0.6448581	0.013084466
3	30.08672	0.7989929	0.00392092
4	26.643667	0.61905265	0.008663495
5	21.353407	0.66050243	0.02928999
6	23.854961	0.6474104	0.016465073
7	24.866617	0.6427196	0.013043621
8	26.491808	0.9084922	0.00897179
9	29.977484	0.85509825	0.0040207906
10	22.791792	0.6839111	0.02103201
11	20.897337	0.008939834	0.03253316
12	28.949652	0.7451952	0.0050944192
13	29.194204	0.7362975	0.004815478
14	17.993914	0.85146654	0.063484624
15	23.720238	0.47993457	0.016983848
16	24.096373	0.7158224	0.015574803
17	25.165901	0.6699384	0.01217502
18	28.645996	0.7355578	0.005463363
19	24.205906	0.6534163	0.015186909
20	24.787663	0.47465852	0.013282923
21	24.516224	0.64942455	0.014139612
22	28.28015	0.7741875	0.0059435354
23	27.471079	0.7855206	0.007160642
24	26.366352	0.5500487	0.009234738
25	27.298132	0.0500246	0.00745155
26	26.018007	0.7779063	0.010005968
27	22.910639	0.59923023	0.020464258
28	23.481695	0.7887879	0.017942807
29	26.046476	0.5932714	0.009940591
30	15.113565	0.002796661	0.123226315
31	25.850462	0.6130417	0.01039953
32	26.209257	0.6726495	0.009574896
33	28.523293	0.69325066	0.005619924
34	23.512125	0.6157314	0.017817525
35	30.27478	0.77200085	0.0037547578
36	26.090324	0.57917947	0.0098407315
37	26.235481	0.60194916	0.009517253
38	28.451433	0.73544157	0.0057136863
39	13.54061	0.004738814	0.17701045
40	27.298187	0.7023384	0.007451456
41	25.922298	0.89720875	0.010228926
42	25.643082	0.6717682	0.010908166
43	24.70036	0.5890339	0.013552645
44	26.615053	0.76143056	0.008720767
45	25.212463	0.60998446	0.012045184
46	25.759342	0.65589434	0.010620027
47	29.006096	0.7440831	0.0050286367
48	25.843355	0.6292123	0.01041656
49	25.07353	0.5445143	0.012436744
50	26.941645	0.72201276	0.0080890125
51	28.485903	0.73441434	0.0056685163
52	24.399931	0.7143923	0.0145233525
53	28.446707	0.80651456	0.0057199104
54	28.443455	0.72388726	0.0057241945
55	26.600508	0.8191587	0.008750018
56	25.757856	0.1901036	0.010623664
57	27.957571	0.6268362	0.0064018094
58	29.353128	0.7599748	0.0046424465
59	29.232782	0.72563803	0.0047728927
60	27.207085	0.6629451	0.0076094163
61	18.660357	0.0056665167	0.054453317
62	28.63683	0.7113294	0.00547491
63	29.281334	0.7483693	0.004719832
64	26.977446	0.66660684	0.008022603
65	25.759357	0.7937529	0.010619989
66	38.12869	0.9734468	0.0006154476
67	23.28872	0.6069344	0.018758057
68	25.918705	0.6224358	0.01023739
69	24.9506	0.6201042	0.012793812
70	27.273151	0.68442947	0.0074945325
71	27.298492	0.61145884	0.0074509326
72	28.942242	0.83580303	0.005103119
73	24.31919	0.53592926	0.0147958845
74	25.656216	0.658403	0.010875225
75	27.221556	0.69307524	0.0075841015
76	25.137794	0.65159965	0.012254072
77	30.806513	0.8954112	0.0033220686
78	24.166567	0.63580364	0.015325094
79	29.784914	0.777953	0.004203087
80	29.253193	0.8568198	0.0047505125
81	25.254177	0.48994055	0.011930045
82	20.47576	0.6539773	0.03584957
83	24.932117	0.89695215	0.012848372
84	29.22532	0.8373618	0.004781098
85	24.832275	0.5606891	0.013147172
86	24.824936	0.5717852	0.013169404
87	29.96685	0.81027454	0.004030647
88	25.199905	0.6565478	0.012080067
89	27.298132	0.0500246	0.00745155
90	26.218098	0.7247087	0.009555424
91	20.581095	0.53982085	0.034990527
92	27.997475	0.78453165	0.006343256
93	25.947927	0.033724178	0.010168739
94	25.513536	0.7250161	0.011238445
95	24.348503	0.47641692	0.0146963475
96	26.698008	0.5670784	0.008555771
97	30.48441	0.9026887	0.003577822
98	28.071684	0.6535555	0.0062357895
99	25.222477	0.7100282	0.012017446
