	PNSR	SSIM	MSE
0	30.57498	0.87224555	0.0035039815
1	27.150032	0.77207583	0.0077100405
2	29.655499	0.8555614	0.0043302216
3	33.280853	0.916032	0.001879208
4	31.930546	0.85414743	0.002564516
5	23.569613	0.8197613	0.017583232
6	26.301315	0.7674567	0.009374075
7	26.582596	0.75766337	0.008786182
8	22.624125	0.8598093	0.021859862
9	35.419724	0.93568504	0.0011483856
10	23.974176	0.79481155	0.016019251
11	30.034172	0.2582418	0.0039686477
12	32.867	0.8744398	0.0020670928
13	32.705437	0.88588	0.002145439
14	21.17443	0.93246615	0.030522276
15	23.784811	0.62449217	0.016733192
16	30.885883	0.8770241	0.003261907
17	26.397121	0.7778939	0.009169543
18	33.682976	0.901578	0.0017130197
19	23.930468	0.7400343	0.016181288
20	27.024714	0.6272166	0.007935759
21	27.82345	0.8380032	0.0066025956
22	32.378796	0.8977562	0.0023130262
23	31.771193	0.89410394	0.0026603607
24	27.321602	0.64137524	0.0074113887
25	28.664392	0.060040504	0.0054402705
26	29.275658	0.9029982	0.004726003
27	24.121056	0.6595266	0.015486534
28	21.491165	0.7527263	0.028375491
29	27.614794	0.7153339	0.0069275633
30	17.835867	0.018344425	0.06583747
31	30.802994	0.83265257	0.0033247604
32	31.119886	0.86212057	0.0030908026
33	32.788002	0.8755647	0.0021050377
34	26.193335	0.75883454	0.009610068
35	33.595238	0.89644796	0.0017479782
36	29.697054	0.79610527	0.0042889845
37	29.227757	0.802729	0.004778419
38	30.54708	0.830369	0.003526566
39	12.532063	0.009625409	0.223282
40	31.451029	0.87791455	0.0028638942
41	22.61408	0.8509948	0.021910477
42	28.530037	0.8235913	0.005611205
43	25.803467	0.6967289	0.010512672
44	31.340696	0.8732467	0.0029375823
45	30.138319	0.84713215	0.0038746104
46	30.891016	0.8455119	0.0032580532
47	31.576374	0.85827684	0.0027824184
48	31.428968	0.8671585	0.002878478
49	28.770962	0.79028606	0.0053083994
50	29.914345	0.8422806	0.004079673
51	30.791887	0.85775876	0.0033332738
52	27.426374	0.8579261	0.007234731
53	33.102005	0.930774	0.0019582103
54	31.606241	0.8741511	0.0027633489
55	23.520824	0.8091685	0.017781872
56	31.65094	0.30580297	0.0027350537
57	29.031462	0.69301796	0.0049993508
58	33.107586	0.8962133	0.001955696
59	32.589638	0.8779065	0.0022034144
60	30.593214	0.8428935	0.0034893004
61	24.527748	0.12979855	0.014102137
62	32.9072	0.8741316	0.002048047
63	32.781845	0.8884271	0.0021080237
64	31.167171	0.8403569	0.0030573313
65	28.53818	0.8781092	0.0056006955
66	28.618643	0.96314347	0.005497884
67	25.449991	0.7200808	0.011404094
68	26.336033	0.68453634	0.009299436
69	24.462896	0.6815057	0.014314298
70	31.571417	0.8641724	0.0027855958
71	32.500504	0.8444361	0.0022491042
72	32.98062	0.9246622	0.0020137134
73	26.623442	0.7326017	0.008703936
74	30.067194	0.8604362	0.0039385855
75	30.546562	0.8541568	0.0035269859
76	25.761547	0.7545239	0.01061464
77	34.0412	0.95599526	0.001577393
78	25.42664	0.75325125	0.011465575
79	33.41903	0.9147262	0.001820358
80	34.177063	0.90026486	0.0015288102
81	29.641739	0.7647057	0.004343961
82	23.39045	0.7741478	0.018323775
83	21.837406	0.8501815	0.026201088
84	32.963745	0.9058729	0.0020215537
85	29.679707	0.8146868	0.00430615
86	25.858562	0.70045877	0.010380149
87	32.70453	0.9185386	0.0021458874
88	27.113728	0.81279427	0.007774763
89	28.664392	0.060040504	0.0054402705
90	27.560743	0.8289187	0.007014318
91	26.597536	0.737993	0.008756006
92	26.131178	0.825186	0.009748596
93	31.892454	0.14139393	0.0025871075
94	23.88399	0.7285462	0.016355392
95	28.8221	0.7573215	0.00524626
96	27.910519	0.6711402	0.006471544
97	33.510204	0.9611509	0.001782541
98	32.40015	0.85185903	0.0023016795
99	27.50121	0.8252823	0.007111133
