	PNSR	SSIM	MSE
0	32.233852	0.9024565	0.0023915228
1	28.468353	0.78717566	0.005691472
2	31.522783	0.90751594	0.0028169649
3	33.37682	0.93621045	0.0018381369
4	33.31133	0.88978	0.001866065
5	23.84778	0.824309	0.01649232
6	26.785244	0.78913116	0.008385626
7	27.25454	0.795271	0.0075267213
8	31.541927	0.9646478	0.0028045753
9	37.1207	0.9571984	0.00077622914
10	23.817945	0.79875535	0.016606012
11	29.727724	0.109486364	0.004258801
12	33.628174	0.8939875	0.0017347719
13	33.777714	0.91265017	0.0016760568
14	21.495403	0.9390087	0.028347816
15	24.790281	0.65330166	0.013274914
16	28.965307	0.87649584	0.005076086
17	25.762068	0.7660045	0.010613363
18	35.224083	0.9336803	0.0012013002
19	24.472712	0.7620152	0.014281992
20	27.606134	0.6589632	0.006941387
21	29.302113	0.86119735	0.0046973014
22	33.634964	0.92068416	0.0017320623
23	33.858086	0.9183527	0.0016453234
24	27.531382	0.66416156	0.0070619015
25	33.535713	0.1652142	0.0017721008
26	28.377111	0.91197985	0.0058123088
27	23.574175	0.65715855	0.017564766
28	25.11503	0.8418432	0.012318469
29	27.97904	0.743785	0.006370242
30	22.694061	0.30690905	0.021510657
31	32.117744	0.87626433	0.0024563242
32	32.56447	0.8974229	0.0022162213
33	33.37807	0.9067782	0.0018376082
34	26.571835	0.7887706	0.0088079795
35	33.41062	0.9158039	0.0018238861
36	30.632849	0.84157556	0.0034576026
37	29.80098	0.8360564	0.004187568
38	30.463251	0.85025406	0.0035952954
39	12.993362	0.011076309	0.2007815
40	32.419987	0.9124571	0.0022911918
41	28.19315	0.9401864	0.0060637994
42	28.703321	0.8467588	0.0053917244
43	26.027153	0.7115882	0.00998492
44	31.512852	0.89116377	0.0028234154
45	31.064566	0.87826675	0.0031304245
46	31.910313	0.8713025	0.0025764904
47	31.658794	0.8674964	0.0027301111
48	32.899918	0.9090978	0.002051484
49	30.463282	0.8493934	0.003595272
50	28.339615	0.8404376	0.0058627105
51	31.339209	0.8846093	0.0029385895
52	29.05981	0.8900459	0.004966824
53	33.699276	0.9451853	0.0017066023
54	33.644352	0.9146056	0.0017283219
55	28.624624	0.8958831	0.005490318
56	34.419662	0.48590592	0.001445752
57	29.009697	0.71540296	0.0050244685
58	34.90282	0.91958904	0.0012935341
59	33.59607	0.9079546	0.0017476447
60	30.247526	0.8719592	0.0037783931
61	29.289846	0.23402932	0.0047105886
62	32.392666	0.8926094	0.0023056492
63	34.544384	0.91496783	0.001404823
64	31.989834	0.8773138	0.0025297431
65	30.984138	0.89915955	0.0031889372
66	41.055195	0.98159	0.0003137188
67	25.477722	0.7489795	0.011331505
68	26.445238	0.68719995	0.00906851
69	23.998663	0.69356704	0.015929187
70	32.510254	0.902257	0.0022440595
71	33.066048	0.87642074	0.0019744912
72	35.676636	0.9378737	0.0010824215
73	27.52368	0.7726877	0.007074439
74	31.422419	0.89808446	0.0028828229
75	32.11533	0.88533866	0.0024576883
76	28.252928	0.805541	0.0059809075
77	34.546265	0.96796685	0.0014042147
78	25.739546	0.80552053	0.010668547
79	32.87852	0.93160754	0.0020616157
80	34.99912	0.91536725	0.001265167
81	31.201048	0.8294559	0.0030335775
82	24.83507	0.7637821	0.013138714
83	27.191555	0.94019645	0.0076366737
84	36.810093	0.9540586	0.0008337782
85	31.077574	0.8579434	0.003121063
86	26.321331	0.7203835	0.009330966
87	35.247177	0.9354143	0.0011949295
88	27.069878	0.840399	0.007853662
89	33.535713	0.1652142	0.0017721008
90	29.015703	0.86492324	0.0050175264
91	28.865664	0.7988139	0.0051938985
92	30.845108	0.85809416	0.0032926775
93	35.77275	0.41014418	0.0010587286
94	26.324083	0.778906	0.009325058
95	30.203192	0.8280025	0.0038171622
96	27.770271	0.6859379	0.0066839424
97	31.789236	0.95785415	0.00264933
98	33.02544	0.8877837	0.0019930385
99	26.501127	0.8588797	0.008952558
