	PNSR	SSIM	MSE
0	28.456007	0.88379306	0.0057076747
1	27.053389	0.75944805	0.007883536
2	28.286644	0.86579883	0.005934655
3	31.981487	0.9290449	0.0025346098
4	31.043406	0.8677926	0.0031457136
5	22.76925	0.7990272	0.021141453
6	24.722841	0.75471467	0.013482662
7	25.038073	0.781926	0.012538703
8	25.796413	0.91420114	0.010529759
9	29.664255	0.9494739	0.004321497
10	24.601618	0.79671013	0.013864305
11	28.59801	0.08824031	0.005524068
12	31.05828	0.88781255	0.003134958
13	30.016994	0.8985498	0.0039843773
14	21.94479	0.9436621	0.025561186
15	23.902649	0.6356337	0.016285274
16	29.255398	0.85917974	0.0047481013
17	22.56669	0.6623554	0.022150874
18	31.574371	0.9108013	0.0027837022
19	20.09675	0.60948133	0.039118737
20	25.680286	0.62845516	0.010815116
21	28.342274	0.8608126	0.0058591203
22	28.921803	0.9029041	0.005127191
23	27.673174	0.90627605	0.006835062
24	27.465801	0.6531666	0.0071693473
25	30.431715	0.092009276	0.0036214993
26	32.784466	0.91731787	0.002106752
27	24.041218	0.6725999	0.015773866
28	23.090769	0.7960095	0.019632837
29	28.24448	0.7339147	0.0059925523
30	23.36861	0.4010944	0.01841615
31	30.595264	0.8575779	0.0034876545
32	28.290133	0.86901146	0.0059298878
33	29.780758	0.8822267	0.0042071133
34	26.941439	0.7858042	0.0080893915
35	30.339962	0.9056666	0.003698824
36	28.609148	0.81110555	0.0055099167
37	28.873693	0.8108696	0.005184303
38	30.325258	0.85170996	0.0037113663
39	13.893265	0.0044405526	0.163205
40	31.28962	0.8951575	0.0029723365
41	24.846745	0.8938051	0.013103442
42	28.16624	0.8341865	0.0061014877
43	23.775248	0.68491334	0.016770076
44	27.253077	0.87595564	0.007529258
45	29.803667	0.8498655	0.004184977
46	28.530294	0.84971154	0.005610872
47	29.344124	0.8626699	0.004652084
48	30.609234	0.8863162	0.003476453
49	28.23414	0.81536055	0.006006835
50	30.23677	0.8450661	0.0037877634
51	29.79059	0.88055795	0.0041975984
52	26.635265	0.8646807	0.00868027
53	30.930698	0.93274856	0.0032284195
54	27.720104	0.8842937	0.006761601
55	26.301367	0.8623693	0.009373965
56	34.667774	0.6894058	0.0013654714
57	27.803469	0.6991188	0.0066330438
58	29.09341	0.9007305	0.004928547
59	30.30684	0.8939826	0.0037271404
60	29.934587	0.8620653	0.004060701
61	28.098196	0.20688389	0.006197839
62	30.244404	0.8832122	0.003781111
63	28.698809	0.8953967	0.00539733
64	30.564253	0.8585755	0.003512647
65	29.381792	0.8912147	0.0046119075
66	32.47326	0.97450817	0.0022632573
67	24.623442	0.7315814	0.013794808
68	24.566677	0.6711745	0.013976296
69	23.053051	0.68284416	0.019804087
70	28.976772	0.8796473	0.005062704
71	31.720465	0.8661911	0.0026916175
72	27.694117	0.929713	0.006802181
73	24.992294	0.7485362	0.012671571
74	28.245173	0.8639543	0.005991598
75	29.566599	0.8698906	0.0044197715
76	23.327936	0.76418185	0.018589439
77	30.848642	0.95667183	0.0032899978
78	25.812134	0.79617757	0.010491714
79	29.686127	0.9191485	0.00429979
80	30.040255	0.9108709	0.0039630933
81	28.40551	0.78888565	0.0057744253
82	21.959682	0.75417733	0.025473675
83	23.840805	0.8904007	0.016518828
84	29.620255	0.9372718	0.0043655057
85	28.925577	0.81987965	0.005122737
86	26.151587	0.70004	0.009702891
87	30.038485	0.9232722	0.0039647096
88	25.051325	0.815654	0.012500498
89	30.431715	0.092009276	0.0036214993
90	26.71386	0.8469664	0.008524597
91	25.991318	0.76329094	0.010067645
92	27.535221	0.8410547	0.007055661
93	37.349762	0.5888599	0.00073634903
94	26.07093	0.75829494	0.009884771
95	29.172276	0.7973514	0.0048398534
96	26.972422	0.6748121	0.008031887
97	31.97444	0.9567008	0.002538726
98	30.09113	0.86037326	0.0039169397
99	26.681883	0.8363867	0.008587595
