	PNSR	SSIM	MSE
0	28.417854	0.7918162	0.0057580355
1	29.461924	0.8321423	0.004527594
2	27.685995	0.8680962	0.0068149157
3	27.569786	0.90126956	0.0069997287
4	30.122616	0.8649956	0.003888644
5	21.577612	0.7518968	0.027816264
6	24.306978	0.7599165	0.014837544
7	26.00375	0.7439747	0.010038872
8	26.729334	0.9253112	0.008494277
9	29.648945	0.9513397	0.0043367585
10	21.584888	0.7639203	0.027769689
11	20.798014	0.012760328	0.033285767
12	29.454323	0.89265937	0.004535526
13	28.680183	0.8952765	0.0054205274
14	19.377512	0.9022699	0.046164557
15	24.081825	0.6684699	0.015627066
16	28.116934	0.8450259	0.0061711553
17	25.80344	0.8419682	0.010512736
18	28.017138	0.90344507	0.0063146036
19	26.48896	0.79034483	0.008977672
20	26.956202	0.65254676	0.00806194
21	28.974056	0.8748692	0.005065872
22	29.915237	0.91129446	0.0040788343
23	28.371199	0.89954996	0.005820229
24	25.226002	0.64999044	0.0120077
25	31.407103	0.116947815	0.0028930078
26	23.542791	0.86864424	0.01769215
27	23.756735	0.65539616	0.016841719
28	24.555756	0.8438927	0.014011491
29	25.914686	0.75905454	0.010246869
30	14.626007	0.0031488421	0.13786665
31	28.987398	0.8410102	0.005050334
32	28.11941	0.8848927	0.0061676363
33	27.921968	0.89110786	0.006454504
34	23.614697	0.7633553	0.017401636
35	28.317558	0.90438956	0.0058925604
36	28.21038	0.8417446	0.0060397917
37	29.639547	0.84450793	0.0043461537
38	25.412205	0.8620726	0.01150375
39	12.992277	0.009881336	0.20083168
40	28.230993	0.8893574	0.0060111904
41	26.405088	0.91809785	0.009152737
42	25.015886	0.7829252	0.0126029225
43	24.790508	0.64800763	0.0132742245
44	32.592453	0.89927995	0.002201986
45	28.827723	0.854156	0.005239472
46	28.305386	0.86604834	0.0059090983
47	26.690252	0.85229784	0.008571061
48	29.903475	0.87999636	0.0040898956
49	27.943357	0.7969971	0.0064227954
50	27.902803	0.8587673	0.0064830543
51	28.57806	0.86141694	0.0055495007
52	26.516191	0.85833424	0.00892156
53	27.541449	0.92403	0.0070455493
54	30.354628	0.9031442	0.0036863529
55	25.813051	0.85617846	0.010489496
56	31.314041	0.42047068	0.002955668
57	24.739056	0.73642015	0.013432425
58	29.396917	0.90170634	0.004595873
59	29.292852	0.9000699	0.00470733
60	26.05274	0.8482484	0.009926262
61	18.297129	0.0092592705	0.059203457
62	28.47457	0.88091135	0.005683329
63	29.333193	0.8962558	0.004663808
64	27.653568	0.85886896	0.0068659885
65	26.697756	0.90175736	0.008556269
66	37.969685	0.98328936	0.000638398
67	23.976763	0.6675723	0.01600971
68	24.885689	0.6926714	0.012986466
69	24.468548	0.70883703	0.014295686
70	29.61321	0.8912985	0.00437259
71	28.933523	0.8393401	0.0051133726
72	27.789278	0.9026142	0.006654755
73	26.681555	0.7272372	0.008588245
74	28.794476	0.8810482	0.005279739
75	29.338709	0.8656145	0.004657886
76	30.956465	0.8946416	0.0032093222
77	27.461477	0.94104165	0.0071764877
78	24.385971	0.76389426	0.0145701105
79	26.71564	0.89798063	0.008521104
80	26.750658	0.92100734	0.008452673
81	29.713558	0.80628353	0.0042727147
82	25.50312	0.7751187	0.011265433
83	25.143185	0.9090473	0.012238873
84	34.618515	0.93408984	0.0013810467
85	27.709984	0.805106	0.006777376
86	24.227425	0.68664503	0.015111845
87	31.552969	0.9088885	0.0027974541
88	25.596058	0.80307335	0.011026915
89	31.407103	0.116947815	0.0028930078
90	24.835918	0.83138156	0.013136147
91	24.821468	0.8306854	0.013179928
92	28.455587	0.85758513	0.0057082237
93	34.35896	0.24775273	0.0014661009
94	24.069014	0.76409036	0.015673226
95	28.184996	0.7719172	0.006075198
96	24.77664	0.7138339	0.013316679
97	25.166912	0.93009925	0.012172189
98	27.548351	0.8536871	0.0070343614
99	24.952343	0.88031673	0.012788678
