	PNSR	SSIM	MSE
0	28.377165	0.80733514	0.005812238
1	28.29694	0.748106	0.005920602
2	26.772118	0.7922713	0.008411007
3	30.653622	0.8748808	0.003441103
4	29.495043	0.82288235	0.0044931993
5	21.821108	0.7446844	0.026299603
6	23.259586	0.7309957	0.018884314
7	24.449415	0.71406007	0.014358802
8	17.768707	0.7238375	0.06686353
9	31.828163	0.9441803	0.0026256898
10	24.570345	0.7820557	0.013964497
11	28.839046	0.34268165	0.00522583
12	29.585247	0.84566903	0.004400835
13	29.567133	0.8805449	0.004419229
14	26.758034	0.97729284	0.008438327
15	22.782568	0.67835474	0.021076724
16	26.005749	0.79114425	0.010034251
17	26.309128	0.7785843	0.009357225
18	29.674992	0.89380944	0.0043108286
19	25.609835	0.7863354	0.010991994
20	25.284208	0.54434556	0.011847833
21	24.503138	0.7846425	0.014182282
22	29.268099	0.8964808	0.004734236
23	30.640629	0.8932508	0.0034514137
24	27.652027	0.6244105	0.006868425
25	27.410242	0.055215947	0.0072616553
26	31.805609	0.89688	0.0026393612
27	23.778439	0.65794134	0.016757762
28	17.478746	0.6390967	0.07148011
29	28.11783	0.729751	0.006169881
30	15.687815	0.0047449474	0.107963875
31	27.95638	0.7904402	0.0064035654
32	29.323029	0.8694751	0.0046747336
33	29.376888	0.8696837	0.0046171187
34	25.27658	0.73903185	0.011868664
35	30.507015	0.8823521	0.003559248
36	27.17901	0.79457724	0.0076587647
37	25.525188	0.7073672	0.011208332
38	31.375208	0.8902215	0.0029143319
39	12.394161	0.0063781086	0.23048563
40	29.666708	0.8649069	0.004319059
41	17.796774	0.70864326	0.0664328
42	26.903337	0.7758563	0.008160677
43	23.3074	0.6111434	0.018677548
44	28.711594	0.8405436	0.0053814626
45	26.62601	0.7687128	0.008698788
46	27.940903	0.8204943	0.006426428
47	30.286968	0.8940221	0.0037442346
48	26.950327	0.78376156	0.008072855
49	26.312454	0.7397678	0.009350063
50	29.328669	0.8359048	0.0046686674
51	29.641373	0.8564296	0.004344327
52	26.74193	0.80324143	0.008469676
53	30.68253	0.9151286	0.003418274
54	27.602571	0.8686389	0.006947088
55	19.30709	0.708222	0.046919234
56	26.943106	0.23345374	0.008086288
57	29.648373	0.74412715	0.004337332
58	28.489801	0.87970966	0.0056634312
59	30.459167	0.8813313	0.0035986784
60	28.965559	0.8417772	0.0050757932
61	22.092873	0.22723979	0.024704298
62	29.259497	0.8636739	0.0047436235
63	27.640905	0.8710692	0.006886036
64	28.3796	0.84712744	0.005808978
65	31.219463	0.9229328	0.00302074
66	20.862925	0.8844811	0.032791965
67	23.362864	0.6774568	0.018440533
68	24.270887	0.5956442	0.01496136
69	24.01632	0.76210237	0.015864559
70	28.59382	0.86728597	0.0055293962
71	29.302898	0.80893075	0.004696454
72	30.970638	0.902659	0.003198866
73	24.836294	0.72014207	0.013135009
74	28.395779	0.83718824	0.005787379
75	29.448875	0.8644293	0.004541217
76	27.771524	0.9092141	0.006682016
77	31.37131	0.9381288	0.00291695
78	25.023918	0.75442433	0.012579633
79	29.383165	0.8889684	0.00461045
80	34.72721	0.926825	0.0013469108
81	26.309946	0.7157795	0.009355461
82	22.912336	0.7601068	0.020456258
83	17.318033	0.7129032	0.07417484
84	30.406244	0.9420766	0.0036428003
85	27.220804	0.76873195	0.0075854147
86	24.886362	0.6570022	0.012984454
87	31.193663	0.9240082	0.0030387396
88	24.92575	0.7689757	0.012867223
89	27.410242	0.055215947	0.0072616553
90	25.830975	0.84328777	0.010446299
91	25.053894	0.862396	0.0124931075
92	23.646132	0.8078231	0.01727614
93	26.481813	0.047360912	0.008992457
94	20.206894	0.6341057	0.03813911
95	25.67206	0.68431157	0.010835623
96	28.116693	0.70476156	0.006171498
97	33.448486	0.9448964	0.0018080531
98	28.665722	0.820739	0.005438607
99	24.418686	0.8723861	0.014460768
