	PNSR	SSIM	MSE
0	28.74261	0.8323428	0.0053431666
1	30.016039	0.7863947	0.003985252
2	27.913754	0.82998645	0.006466727
3	30.128262	0.90682644	0.0038835942
4	32.593056	0.88195115	0.0022016815
5	20.65128	0.68409336	0.0344296
6	23.144043	0.7410754	0.019393474
7	24.941643	0.7417828	0.012820224
8	24.878683	0.89968544	0.013007429
9	27.580761	0.9464382	0.006982065
10	24.734735	0.80195236	0.013445793
11	29.80142	0.26632273	0.0041871425
12	32.38062	0.88527715	0.002312054
13	30.569752	0.88384974	0.0035082027
14	19.188995	0.89706635	0.04821258
15	24.510181	0.6729287	0.014159297
16	28.134796	0.819735	0.0061458237
17	29.010107	0.8441631	0.0050239945
18	33.36964	0.9296513	0.0018411786
19	24.321365	0.76206577	0.014788476
20	25.25457	0.5542106	0.011928963
21	27.530916	0.8248603	0.0070626587
22	27.732618	0.9039859	0.006742145
23	28.397852	0.904143	0.005784617
24	27.10112	0.63264334	0.0077973623
25	22.60971	0.016611911	0.021932531
26	30.836597	0.9075878	0.0032991348
27	23.332085	0.62768775	0.018571684
28	23.178509	0.8079147	0.01924017
29	28.714575	0.7542422	0.0053777723
30	16.570107	0.00657884	0.0881149
31	29.728998	0.8317391	0.0042575533
32	29.240612	0.878445	0.0047642947
33	29.98439	0.8657376	0.0040144008
34	26.564108	0.7871802	0.008823663
35	27.589167	0.88755876	0.0069685644
36	29.391602	0.8390937	0.004601502
37	25.52921	0.6932313	0.011197965
38	29.918686	0.8860683	0.004075597
39	12.585434	0.0020967026	0.22055483
40	29.581593	0.8732244	0.004404541
41	24.96939	0.8989463	0.012738574
42	27.477068	0.7814115	0.007150773
43	23.743872	0.64692765	0.016891673
44	31.04773	0.87304723	0.0031425834
45	28.90424	0.8284703	0.0051479694
46	28.833857	0.8652851	0.005232078
47	30.848698	0.89187783	0.003289956
48	28.298597	0.8360652	0.0059183417
49	28.059687	0.7852978	0.006253041
50	32.171085	0.882317	0.002426339
51	28.01988	0.8449747	0.0063106185
52	26.791075	0.835958	0.008374374
53	28.936314	0.92879456	0.0051100883
54	28.432415	0.8758897	0.005738764
55	25.9744	0.8480489	0.010106944
56	24.59448	0.2219975	0.013887104
57	27.537605	0.7319661	0.00705179
58	29.047167	0.8900138	0.0049813036
59	29.388872	0.8821881	0.0046043945
60	30.122328	0.85700625	0.0038889027
61	22.68387	0.12485994	0.021561196
62	28.402107	0.8667651	0.0057789506
63	28.604143	0.8777381	0.005516271
64	29.851273	0.8653299	0.0041393535
65	32.94357	0.9310967	0.0020309682
66	32.01066	0.9746936	0.0025176427
67	23.174028	0.6910195	0.019260036
68	25.06354	0.61587495	0.012465395
69	24.005688	0.7659078	0.015903447
70	27.951885	0.878981	0.0064101983
71	31.874924	0.84446377	0.0025975718
72	26.754477	0.9057199	0.008445246
73	24.58248	0.71397126	0.013925531
74	29.347393	0.87522924	0.0046485816
75	28.591244	0.874382	0.005532681
76	22.603544	0.85738957	0.021963697
77	30.001865	0.94264966	0.003998281
78	24.940115	0.7561486	0.012824736
79	31.086582	0.89375645	0.003114596
80	30.392517	0.92286086	0.0036543324
81	27.311466	0.7431806	0.0074287066
82	22.694208	0.7535526	0.02150993
83	24.100391	0.89355654	0.015560392
84	27.98153	0.9243015	0.0063665914
85	28.457457	0.8155449	0.00570577
86	25.416035	0.6751512	0.0114936065
87	28.157717	0.92305946	0.006113474
88	25.009335	0.799311	0.012621948
89	22.60971	0.016611911	0.021932531
90	25.610487	0.8474731	0.010990344
91	24.24657	0.83853906	0.015045362
92	28.286741	0.85831505	0.005934522
93	23.349535	0.020499373	0.018497214
94	25.451649	0.7333972	0.01139974
95	25.78392	0.690471	0.010560097
96	27.369465	0.69225085	0.0073301597
97	29.755236	0.94909436	0.0042319084
98	30.958467	0.8481473	0.0032078433
99	28.850964	0.91572535	0.005211508
