	PNSR	SSIM	MSE
0	28.280699	0.77577686	0.005942785
1	30.056211	0.80768955	0.00394856
2	27.703571	0.8236541	0.006787388
3	32.60356	0.8948457	0.0021963613
4	31.23881	0.8412362	0.0030073142
5	21.144497	0.71906805	0.030733377
6	23.784689	0.7353329	0.016733661
7	25.286884	0.72120935	0.011840537
8	26.634848	0.92841214	0.008681107
9	36.22068	0.9463306	0.0009549743
10	22.492348	0.75739396	0.022533316
11	25.8639	0.10009093	0.010367401
12	31.551352	0.881095	0.002798496
13	32.503895	0.88830817	0.0022473494
14	18.427437	0.87116355	0.057453457
15	25.17242	0.65910083	0.012156756
16	26.447	0.817933	0.009064831
17	26.57362	0.81455207	0.008804361
18	32.74688	0.9088573	0.0021250648
19	25.380579	0.778917	0.011587827
20	26.64163	0.61168826	0.00866756
21	27.33825	0.8198578	0.0073830355
22	31.672167	0.899857	0.002721718
23	32.176006	0.8876572	0.0024235917
24	27.312923	0.6543645	0.0074262135
25	24.332994	0.025676936	0.014748925
26	26.816956	0.88143367	0.0083246175
27	23.477608	0.64738464	0.017959703
28	24.420834	0.8417402	0.014453619
29	27.591742	0.7366348	0.0069644293
30	14.321518	0.0024591323	0.14787957
31	29.010654	0.78446126	0.005023361
32	30.78214	0.870795	0.0033407644
33	32.114807	0.8794866	0.0024579845
34	24.199339	0.7359613	0.015209885
35	33.528328	0.8934949	0.0017751179
36	29.767712	0.8116591	0.004219768
37	26.47791	0.7512617	0.009000549
38	30.411575	0.8693127	0.0036383318
39	12.599783	0.0035646118	0.21982731
40	30.434483	0.8624549	0.003619191
41	26.184536	0.92061454	0.009629555
42	26.333834	0.7755621	0.009304147
43	24.244476	0.6376421	0.01505263
44	31.951836	0.8812721	0.0025519733
45	28.36283	0.80451864	0.005831455
46	29.578642	0.8351389	0.0044075344
47	31.500095	0.86834794	0.0028317205
48	28.46511	0.82421315	0.005695724
49	27.643562	0.74245733	0.0068818266
50	31.799995	0.8567888	0.0026427764
51	30.970612	0.8477221	0.0031988865
52	27.399258	0.83305186	0.007280045
53	31.990204	0.91486025	0.0025295285
54	32.1618	0.89959145	0.0024315312
55	26.477781	0.85997826	0.00900081
56	24.791939	0.20131323	0.013269851
57	28.336817	0.74070793	0.0058664866
58	33.15816	0.89245856	0.0019330534
59	33.065235	0.89394075	0.0019748597
60	28.66997	0.8423563	0.0054332903
61	19.37752	0.0682002	0.046164475
62	31.864523	0.86569095	0.0026037996
63	32.96336	0.88423425	0.002021733
64	30.458681	0.85453355	0.003599081
65	27.805468	0.90897334	0.0066299927
66	37.320168	0.9816801	0.00074138393
67	23.309935	0.64959234	0.018666651
68	26.068422	0.6737008	0.009890486
69	25.060415	0.7342782	0.01247436
70	31.084538	0.8724003	0.003116062
71	30.916487	0.81796604	0.0032390014
72	32.67047	0.8832207	0.0021627815
73	25.773094	0.70420754	0.010586453
74	29.813265	0.8615906	0.0041757375
75	30.468365	0.8543155	0.0035910655
76	28.800068	0.8850818	0.0052729417
77	32.20413	0.94048023	0.002407947
78	24.952797	0.7876108	0.012787342
79	31.518402	0.8986775	0.0028198091
80	33.368084	0.9191071	0.0018418377
81	27.293066	0.7284267	0.0074602477
82	23.840025	0.75247115	0.0165218
83	25.241364	0.915864	0.011965299
84	32.994434	0.93183595	0.00200732
85	28.02991	0.77994657	0.006296061
86	25.099813	0.68671966	0.012361705
87	33.3768	0.90430564	0.0018381446
88	25.144375	0.7852576	0.012235519
89	24.332994	0.025676936	0.014748925
90	26.668903	0.8449006	0.0086133
91	26.178596	0.8028573	0.009642735
92	28.9823	0.8451399	0.005056265
93	23.99626	0.024444962	0.015938
94	25.174492	0.75935495	0.012150964
95	25.823702	0.6743751	0.010463806
96	27.582745	0.7184688	0.0069788746
97	29.642767	0.93476254	0.004342933
98	31.092876	0.8451581	0.003110084
99	26.91288	0.86709094	0.008142764
