	PNSR	SSIM	MSE
0	28.775667	0.7893454	0.0053026523
1	29.204119	0.8225737	0.0048044976
2	28.19626	0.8618491	0.0060594585
3	29.245281	0.9040586	0.004759174
4	29.321304	0.8767245	0.0046765925
5	20.994173	0.69745094	0.031815775
6	24.402699	0.7683753	0.014514095
7	25.83445	0.7346885	0.010437943
8	27.21935	0.9324736	0.0075879563
9	33.395332	0.95263356	0.0018303192
10	21.690557	0.7556149	0.02710218
11	31.494013	0.22309394	0.0028356886
12	29.830418	0.8851269	0.004159279
13	29.480484	0.89689004	0.0045082862
14	18.884193	0.8885889	0.051717855
15	24.66743	0.6741197	0.013655786
16	27.507772	0.8242663	0.0071003963
17	25.970966	0.8302989	0.010114937
18	30.677635	0.9258505	0.003422128
19	25.88339	0.79485667	0.010320978
20	26.544174	0.65603924	0.0088642575
21	28.736557	0.86088604	0.00535062
22	30.807013	0.913312	0.0033216851
23	30.800308	0.8999422	0.0033268179
24	25.729025	0.66252697	0.010694423
25	24.05156	0.02264753	0.015736345
26	24.492153	0.8782709	0.0142182
27	23.810265	0.6771601	0.01663541
28	24.447922	0.8452477	0.014363743
29	25.984432	0.7531992	0.0100836195
30	13.597639	0.0032242057	0.17470124
31	29.051619	0.8343823	0.0049762027
32	28.494686	0.8813747	0.0056570666
33	28.99149	0.8886489	0.005045577
34	24.051659	0.7646523	0.01573599
35	30.36937	0.90229905	0.0036738631
36	28.750471	0.82919675	0.0053335065
37	27.623352	0.7999774	0.006913924
38	28.373936	0.87946546	0.005816561
39	12.314526	0.0032045965	0.23475097
40	28.064644	0.87806815	0.0062459065
41	26.689575	0.9229014	0.008572399
42	25.153059	0.7847717	0.012211077
43	24.406923	0.64821476	0.014499985
44	31.920101	0.8844793	0.0025706897
45	29.311268	0.860786	0.004687411
46	30.125027	0.8737538	0.003886487
47	29.072079	0.884908	0.004952815
48	29.893541	0.8771055	0.0040992624
49	29.070995	0.7971604	0.0049540484
50	28.10327	0.8655677	0.0061906017
51	29.461834	0.8645603	0.004527688
52	26.775919	0.8529694	0.008403652
53	30.178299	0.9313139	0.003839105
54	30.63398	0.9026274	0.0034567025
55	26.440718	0.87253314	0.009077955
56	26.353563	0.23591629	0.009261973
57	26.779215	0.7500058	0.008397274
58	31.18061	0.9025645	0.0030478872
59	29.615364	0.8978355	0.004370423
60	25.46516	0.8313652	0.01136433
61	19.208645	0.11230466	0.04799494
62	29.275686	0.87787694	0.004725973
63	31.109806	0.90045846	0.0030979835
64	28.926579	0.872545	0.005121557
65	26.942696	0.9094327	0.008087052
66	39.02897	0.9829073	0.000500222
67	23.38566	0.6619236	0.018343989
68	25.504137	0.6439095	0.011262794
69	26.261621	0.7686078	0.00946014
70	30.081966	0.89167875	0.0039252127
71	28.664362	0.8505715	0.00544031
72	31.952784	0.90261513	0.0025514169
73	26.83677	0.7272647	0.008286726
74	28.78964	0.87965673	0.005285617
75	29.554506	0.88708854	0.004432098
76	31.840307	0.90328777	0.002618359
77	31.23118	0.9433445	0.0030126022
78	24.625578	0.8084386	0.013788025
79	29.31871	0.9049788	0.004679384
80	30.82964	0.9249086	0.0033044245
81	28.538296	0.7708753	0.005600545
82	23.9259	0.7737948	0.016198315
83	25.175283	0.9106652	0.012148748
84	34.496666	0.94577116	0.0014203435
85	27.77366	0.8179584	0.0066787275
86	23.74412	0.7008229	0.016890708
87	31.812832	0.91353554	0.0026349751
88	25.331844	0.81073517	0.011718594
89	24.05156	0.02264753	0.015736345
90	25.908241	0.834191	0.010262088
91	26.811142	0.83504176	0.008335768
92	28.995201	0.847083	0.0050412677
93	25.486286	0.032416124	0.011309187
94	24.642717	0.7791517	0.013733715
95	27.145245	0.73712283	0.0077185426
96	25.92797	0.71972495	0.010215574
97	27.60536	0.9346393	0.006942625
98	28.886127	0.86307746	0.0051694815
99	29.026213	0.9185489	0.0050053988
