	PNSR	SSIM	MSE
0	31.538288	0.88834834	0.002806927
1	27.462774	0.7766125	0.0071743466
2	30.53425	0.8847367	0.0035369974
3	35.15218	0.93294364	0.0012213547
4	33.39425	0.88555163	0.001830775
5	22.655071	0.8028589	0.021704651
6	27.14245	0.79871434	0.0077235093
7	26.818954	0.77944726	0.008320787
8	22.967636	0.86341405	0.02019744
9	36.975826	0.9501701	0.0008025594
10	23.921333	0.7955331	0.016215354
11	29.489422	0.10268542	0.0044990163
12	33.383995	0.891938	0.0018351038
13	33.971947	0.9052377	0.0016027481
14	21.13454	0.9351894	0.030803904
15	23.955769	0.6386586	0.016087297
16	31.053398	0.8784044	0.003138485
17	25.886843	0.7676702	0.010312773
18	35.262455	0.924766	0.0011907327
19	24.838879	0.76777184	0.013127192
20	27.175964	0.634898	0.00766414
21	27.628138	0.83258885	0.006906311
22	33.37093	0.9111399	0.0018406329
23	32.232178	0.91186756	0.0023924455
24	27.662926	0.65200865	0.006851208
25	36.319096	0.3227759	0.00093357725
26	30.290594	0.9166098	0.0037411097
27	24.012154	0.66182584	0.015879782
28	21.505735	0.7570213	0.028280454
29	27.95127	0.73318726	0.0064111045
30	20.900393	0.2236429	0.032510273
31	32.000996	0.87066257	0.0025232492
32	31.67955	0.8828622	0.0027170945
33	33.36555	0.8956829	0.0018429132
34	26.918352	0.79278755	0.00813251
35	34.87171	0.91008264	0.001302833
36	30.09084	0.82124275	0.0039172005
37	29.563362	0.8260184	0.004423068
38	32.460903	0.8566303	0.0022697053
39	12.697788	0.007742622	0.2149221
40	32.38634	0.90156007	0.00230901
41	22.575802	0.8461001	0.022104446
42	29.244242	0.8464113	0.004760314
43	25.990189	0.7042586	0.010070268
44	31.79855	0.88792896	0.0026436555
45	30.448135	0.8713069	0.003607833
46	30.957602	0.8606267	0.003208483
47	33.29765	0.8754455	0.0018719533
48	32.521793	0.89665306	0.0022381048
49	29.994087	0.834907	0.0040054494
50	28.5081	0.8390716	0.005639617
51	31.802515	0.8756968	0.0026412427
52	27.833733	0.87142617	0.0065869847
53	34.56529	0.94116867	0.0013980763
54	31.827894	0.8956176	0.0026258528
55	23.760756	0.81847644	0.016826132
56	34.512012	0.5777752	0.001415333
57	29.709597	0.7102544	0.0042766146
58	34.321903	0.91261834	0.0014786648
59	34.085552	0.89653593	0.0015613667
60	29.477316	0.85675675	0.0045115757
61	27.805317	0.19936854	0.0066302246
62	33.707344	0.8879969	0.0017034352
63	33.391674	0.907757	0.0018318607
64	32.21403	0.86538005	0.002402463
65	30.066664	0.8944018	0.003939068
66	28.234617	0.96132916	0.0060061766
67	25.527563	0.7318417	0.011202209
68	25.796038	0.67057127	0.010530675
69	24.645674	0.69987947	0.013724374
70	32.679256	0.89114726	0.0021584108
71	33.718254	0.87370044	0.0016991606
72	31.939667	0.9365729	0.0025591338
73	27.520916	0.76733434	0.0070789396
74	30.446606	0.87949944	0.0036091027
75	32.296844	0.88375324	0.0023570866
76	26.82462	0.7912281	0.008309943
77	36.07648	0.965786	0.0009872155
78	25.485487	0.7839239	0.011311265
79	33.305107	0.9299493	0.0018687419
80	35.428814	0.91403586	0.0011459842
81	30.666426	0.82304376	0.0034309723
82	24.1827	0.7820518	0.015268275
83	22.159332	0.85427016	0.024329131
84	34.995014	0.92585987	0.0012663632
85	30.392134	0.8450253	0.003654656
86	25.96636	0.7154469	0.010125669
87	35.225456	0.9325402	0.0012009209
88	26.864048	0.82891697	0.008234838
89	36.319096	0.3227759	0.00093357725
90	28.332897	0.847378	0.005871785
91	28.066135	0.7755114	0.0062437635
92	25.673903	0.81925815	0.0108310245
93	35.066124	0.42895997	0.0012457974
94	24.19919	0.727881	0.01521041
95	29.698565	0.8130976	0.004287494
96	28.267612	0.67599463	0.0059607173
97	34.570892	0.9609456	0.0013962742
98	33.3171	0.8783925	0.001863588
99	25.180851	0.8330197	0.01213318
