	PNSR	SSIM	MSE
0	29.600096	0.8636229	0.0043858145
1	29.243156	0.7942921	0.004761504
2	30.008272	0.9040915	0.003992387
3	31.847486	0.92125434	0.0026140339
4	27.489666	0.8556295	0.0071300613
5	18.897024	0.6729824	0.051565297
6	22.400553	0.7279997	0.023014659
7	24.943335	0.765207	0.012815231
8	27.8999	0.94558764	0.0064873844
9	33.40696	0.9569226	0.0018254247
10	25.09279	0.81872916	0.012381719
11	22.258957	0.016723579	0.023777392
12	29.947136	0.8844455	0.004048987
13	31.672903	0.8992524	0.0027212566
14	18.48603	0.87314653	0.056683518
15	25.563782	0.69098073	0.0111091705
16	26.525118	0.8301433	0.008903239
17	27.690794	0.8370949	0.006807388
18	29.858149	0.91564983	0.0041328073
19	22.679672	0.7406954	0.021582043
20	25.9981	0.6178656	0.010051936
21	27.856117	0.8485976	0.00655312
22	30.22107	0.9194903	0.0038014813
23	32.62393	0.92118603	0.002186083
24	27.825336	0.65695107	0.006599729
25	29.870232	0.084404774	0.004121324
26	32.008663	0.91496664	0.0025188
27	23.129677	0.6337889	0.019457731
28	24.60839	0.8404397	0.013842701
29	28.009743	0.7685965	0.006325364
30	17.988632	0.01755337	0.06356187
31	27.78186	0.83844125	0.0066661276
32	30.807508	0.904002	0.0033213072
33	30.816254	0.88376486	0.0033146248
34	26.353886	0.7933657	0.009261284
35	31.597805	0.9069952	0.0027687224
36	27.214685	0.8424801	0.0075961123
37	28.28763	0.7779926	0.005933307
38	33.21036	0.89486414	0.0019099582
39	12.374665	0.0017182459	0.23152263
40	30.513659	0.893935	0.0035538073
41	27.123053	0.9336547	0.0077580865
42	27.381765	0.80218303	0.0073094266
43	23.459436	0.6457893	0.018035002
44	28.027035	0.868366	0.006300228
45	28.818079	0.8668288	0.00525112
46	30.515198	0.8808712	0.003552548
47	31.92816	0.9042479	0.0025659238
48	27.673725	0.8589115	0.006834195
49	27.840784	0.8117854	0.0065762964
50	28.816216	0.8602117	0.0052533736
51	30.74028	0.86641103	0.0033731204
52	27.525486	0.8593723	0.007071494
53	31.121586	0.9335758	0.0030895928
54	28.19929	0.88428235	0.006055233
55	27.66156	0.8668691	0.0068533653
56	33.6379	0.48766708	0.0017308913
57	29.394712	0.7367604	0.004598208
58	30.26754	0.9062849	0.0037610214
59	32.396458	0.9016827	0.0023036387
60	30.572626	0.87927663	0.0035058823
61	22.50117	0.0233885	0.022487596
62	30.48551	0.88513136	0.0035769166
63	29.319046	0.89163715	0.0046790238
64	28.550032	0.8609501	0.0055854293
65	28.74744	0.9169859	0.005337227
66	38.322968	0.98277986	0.0005885224
67	23.56542	0.7188386	0.017600209
68	24.97111	0.6507624	0.012733535
69	24.251146	0.7563055	0.015029525
70	29.143053	0.89464855	0.004872529
71	29.70282	0.8427827	0.004283293
72	31.05347	0.9255313	0.003138432
73	24.057112	0.728771	0.015716245
74	29.955128	0.89993024	0.0040415414
75	29.72036	0.8869579	0.004266029
76	24.84449	0.88598615	0.013110249
77	33.96601	0.9500319	0.0016049398
78	24.943708	0.78994673	0.012814123
79	30.058756	0.91029626	0.0039462466
80	35.664383	0.9243886	0.001085479
81	27.64872	0.78965074	0.006873655
82	22.33976	0.754187	0.023339093
83	25.474411	0.91989666	0.01134015
84	33.674507	0.95317584	0.001716363
85	28.391108	0.8314747	0.0057936073
86	24.518223	0.66310275	0.014133102
87	32.645832	0.94418883	0.002175088
88	23.58157	0.80096084	0.017534887
89	29.870232	0.084404774	0.004121324
90	25.573847	0.8548528	0.011083454
91	26.866436	0.85508883	0.008230311
92	30.508251	0.8769523	0.0035582352
93	35.49103	0.32479823	0.0011296838
94	26.515783	0.759838	0.008922397
95	28.110844	0.76429284	0.0061798166
96	28.308435	0.7071133	0.0059049516
97	34.922684	0.9570513	0.0012876315
98	29.261217	0.8547429	0.004741744
99	33.09016	0.93746376	0.0019635588
