	PNSR	SSIM	MSE
0	30.47624	0.88496816	0.003584559
1	29.879622	0.793031	0.004112423
2	30.306688	0.8971119	0.0037272726
3	35.158237	0.9378538	0.0012196526
4	32.14484	0.8839216	0.002441047
5	24.53184	0.8167877	0.014088865
6	26.754457	0.7984884	0.008445281
7	26.179188	0.79648554	0.009641418
8	35.00345	0.9729134	0.0012639067
9	35.95965	0.96025264	0.0010141337
10	24.450691	0.80741924	0.0143545875
11	34.15351	0.60516125	0.0015371233
12	31.679935	0.8924585	0.0027168537
13	33.247997	0.9135065	0.0018934781
14	19.066566	0.892569	0.049591057
15	25.953302	0.64695317	0.010156166
16	25.382694	0.8212744	0.0115821855
17	26.705736	0.8049668	0.008540556
18	33.321796	0.9302955	0.0018615734
19	27.00322	0.80217457	0.007975131
20	27.169895	0.6599353	0.007674858
21	29.180708	0.8669349	0.0048304657
22	32.96226	0.9222904	0.0020222461
23	31.475246	0.9230719	0.002847969
24	28.164436	0.66163766	0.0061040223
25	30.426958	0.09342605	0.003625468
26	33.181286	0.92798436	0.0019227874
27	22.419458	0.6349185	0.022914696
28	29.2982	0.9049215	0.004701535
29	28.424227	0.7431264	0.0057495935
30	21.09354	0.03867645	0.0310961
31	31.538324	0.87364495	0.0028069029
32	30.77285	0.8962516	0.0033479175
33	32.37027	0.9007893	0.00231757
34	27.366379	0.8073066	0.00733537
35	35.348267	0.9182758	0.0011674366
36	30.148973	0.840228	0.0038651163
37	29.489544	0.8319797	0.0044988906
38	32.904278	0.8580828	0.0020494252
39	12.746344	0.0022816116	0.2125326
40	33.618942	0.9115022	0.0017384647
41	33.23658	0.9772857	0.0018984622
42	28.977615	0.8465592	0.0050617224
43	24.958643	0.6990301	0.012770138
44	29.820353	0.8903941	0.0041689295
45	30.593771	0.8643516	0.0034888536
46	30.754301	0.8680987	0.0033622482
47	32.679916	0.8746222	0.0021580835
48	32.60095	0.90673286	0.002197684
49	29.608019	0.845662	0.0043778196
50	29.001736	0.83924127	0.0050336877
51	32.492035	0.89191073	0.0022534947
52	28.318415	0.88795453	0.005891397
53	34.104115	0.94544506	0.0015547063
54	29.468447	0.89869	0.0045208
55	32.914238	0.9252979	0.00204473
56	34.721104	0.54188323	0.001348806
57	29.056473	0.70211685	0.0049706437
58	32.450825	0.91602635	0.0022749805
59	34.991108	0.90991724	0.0012675034
60	31.083918	0.87641746	0.0031165066
61	27.78425	0.3560977	0.006662461
62	33.771988	0.89792645	0.0016782671
63	31.319653	0.9107616	0.002951851
64	32.002003	0.8742696	0.0025226655
65	30.934599	0.90407646	0.0032255226
66	30.90065	0.95976853	0.0032508336
67	25.778658	0.7602216	0.010572897
68	25.644012	0.6760959	0.01090583
69	23.662539	0.6933341	0.017210994
70	32.60889	0.9063173	0.0021936684
71	33.186504	0.8723161	0.0019204782
72	30.336555	0.9361518	0.0037017264
73	26.897018	0.7706797	0.008172559
74	30.424335	0.89536756	0.0036276565
75	32.53676	0.889041	0.0022304072
76	24.541666	0.7810502	0.014057022
77	35.508358	0.9642264	0.0011251855
78	26.18723	0.8254333	0.009623584
79	31.296173	0.9287574	0.0029678543
80	35.142944	0.92086744	0.0012239555
81	29.823215	0.8161042	0.0041661817
82	23.97693	0.7618503	0.016009094
83	33.95562	0.98659	0.001608785
84	35.90885	0.9569075	0.0010260646
85	30.478682	0.84499884	0.003582545
86	26.40189	0.71378136	0.009159479
87	35.476124	0.9360776	0.0011335681
88	27.312511	0.84712696	0.0074269176
89	30.426958	0.09342605	0.003625468
90	28.231434	0.8612655	0.0060105817
91	28.911407	0.79191	0.0051394803
92	30.651892	0.857444	0.0034424737
93	36.577667	0.4943457	0.0008796159
94	29.001524	0.80946314	0.005033935
95	29.898014	0.8204847	0.0040950417
96	27.802813	0.67386365	0.0066340463
97	36.13	0.966199	0.0009751235
98	31.98623	0.88108516	0.0025318428
99	25.627787	0.8414819	0.010946647
